sale_id,customer_id,sauce_id,quantity_sold,unit_price,sale_date
S000110,C003,SC026,100,4.74,2024-01-24
S000111,C001,SC024,78,12.82,2024-01-24
S000112,C003,SC028,142,3.59,2024-01-24
S000113,C014,SC021,64,10.92,2024-01-25
S000114,C017,SC014,85,8.54,2024-01-25
S000115,C011,SC031,290,5.94,2024-01-25
S000116,C002,SC036,97,9.49,2024-01-25
S000117,C007,SC001,80,8.54,2024-01-25
S000118,C004,SC006,129,7.19,2024-01-25
S000119,C006,SC005,180,10.79,2024-01-26
S000120,C003,SC031,110,6.29,2024-01-26
S000121,C002,SC036,125,8.99,2024-01-26
S000122,C009,SC006,52,7.59,2024-01-26
S000123,C010,SC006,103,7.19,2024-01-26
S000124,C005,SC026,56,4.74,2024-01-26
S000125,C015,SC001,80,8.54,2024-01-26
S000126,C007,SC001,187,8.09,2024-01-27
S000127,C017,SC015,150,7.19,2024-01-27
S000128,C015,SC036,90,9.49,2024-01-27
S000129,C007,SC031,65,6.64,2024-01-28
S000130,C011,SC001,272,7.64,2024-01-28
S000131,C012,SC006,175,7.19,2024-01-28
S000132,C013,SC026,129,4.49,2024-01-28
S000133,C014,SC017,78,6.17,2024-01-29
S000134,C012,SC026,153,4.49,2024-01-29
S000135,C011,SC026,222,4.24,2024-01-29
S000136,C003,SC027,104,4.94,2024-01-29
S000137,C005,SC011,57,6.64,2024-01-29
S000138,C009,SC032,106,6.74,2024-01-29
S000139,C005,SC012,33,6.99,2024-01-30
S000140,C006,SC003,152,9.89,2024-01-30
S000141,C003,SC027,138,4.94,2024-01-30
S000142,C007,SC026,106,4.49,2024-01-30
S000143,C013,SC006,185,7.19,2024-01-30
S000144,C011,SC036,272,8.49,2024-01-30
S000145,C015,SC017,38,6.49,2024-01-30
S000146,C008,SC026,95,4.74,2024-01-30
S000147,C019,SC025,28,9.99,2024-01-31
S000148,C002,SC016,127,6.74,2024-01-31
S000149,C007,SC032,87,7.12,2024-01-31
S000150,C012,SC031,155,6.29,2024-01-31
S000151,C013,SC031,116,6.29,2024-01-31
S000152,C014,SC001,59,8.54,2024-01-31
S000153,C001,SC021,51,10.92,2024-01-31
S000154,C019,SC023,44,10.49,2024-01-31
S000155,C005,SC032,129,6.74,2024-02-01
S000156,C020,SC004,228,10.62,2024-02-01
S000157,C012,SC036,300,8.49,2024-02-01
S000158,C018,SC023,40,10.49,2024-02-01
S000159,C017,SC006,83,7.59,2024-02-01
S000160,C005,SC026,48,4.99,2024-02-01
S000161,C011,SC017,204,5.52,2024-02-02
S000162,C003,SC028,108,3.59,2024-02-02
S000163,C001,SC004,67,11.87,2024-02-02
S000164,C014,SC004,97,11.87,2024-02-02
S000165,C017,SC013,49,7.49,2024-02-03
S000166,C017,SC026,95,4.74,2024-02-03
S000167,C006,SC036,143,8.99,2024-02-03
S000168,C015,SC017,56,6.17,2024-02-03
S000169,C018,SC025,46,9.99,2024-02-04
S000170,C015,SC001,86,8.54,2024-02-05
S000171,C020,SC018,146,8.09,2024-02-05
S000172,C015,SC021,94,10.92,2024-02-05
S000173,C006,SC037,166,9.44,2024-02-05
S000174,C001,SC049,83,7.59,2024-02-06
S000175,C019,SC021,14,11.49,2024-02-06
S000176,C002,SC043,39,8.99,2024-02-06
S000177,C014,SC021,31,11.49,2024-02-06
S000178,C003,SC028,33,3.99,2024-02-06
S000179,C010,SC011,71,6.64,2024-02-06
S000180,C017,SC014,42,8.99,2024-02-07
S000181,C015,SC016,91,7.12,2024-02-07
S000182,C002,SC001,61,8.54,2024-02-07
S000183,C006,SC006,113,7.19,2024-02-07
S000184,C003,SC028,108,3.59,2024-02-07
S000185,C013,SC031,228,5.94,2024-02-08
S000186,C015,SC001,92,8.54,2024-02-08
S000187,C018,SC024,27,13.49,2024-02-08
S000188,C019,SC004,19,12.49,2024-02-08
S000189,C015,SC016,51,7.12,2024-02-08
S000190,C003,SC028,118,3.59,2024-02-08
S000191,C013,SC031,262,5.94,2024-02-08
S000192,C017,SC006,93,7.59,2024-02-09
S000193,C011,SC006,297,6.79,2024-02-09
S000194,C014,SC046,44,9.99,2024-02-09
S000195,C020,SC016,89,7.12,2024-02-09
S000196,C015,SC043,71,8.54,2024-02-09
S000197,C019,SC004,18,12.49,2024-02-10
S000198,C008,SC026,51,4.74,2024-02-10
S000199,C016,SC004,85,11.87,2024-02-10
S000200,C003,SC032,56,7.12,2024-02-10
S000201,C006,SC037,98,9.97,2024-02-11
S000202,C005,SC012,126,6.29,2024-02-11
S000203,C009,SC006,159,7.19,2024-02-11
S000204,C002,SC036,49,9.99,2024-02-11
S000205,C001,SC025,44,9.99,2024-02-12
S000206,C008,SC001,139,8.09,2024-02-12
S000207,C006,SC001,195,8.09,2024-02-12
S000208,C002,SC003,86,10.44,2024-02-13
S000209,C005,SC006,138,7.19,2024-02-13
S000210,C007,SC037,119,9.44,2024-02-13
S000211,C010,SC026,190,4.49,2024-02-14
S000212,C019,SC037,10,10.49,2024-02-14
S000213,C008,SC006,140,7.19,2024-02-14
S000214,C019,SC024,28,13.49,2024-02-14
S000215,C004,SC002,104,8.54,2024-02-14
S000216,C008,SC007,79,8.07,2024-02-14
S000217,C006,SC032,161,6.74,2024-02-14
S000218,C002,SC018,34,8.99,2024-02-14
S000219,C012,SC031,101,6.29,2024-02-15
S000220,C016,SC049,46,7.99,2024-02-15
S000221,C011,SC017,233,5.52,2024-02-15
S000222,C012,SC006,137,7.19,2024-02-15
S000223,C010,SC032,193,6.74,2024-02-15
S000224,C018,SC004,40,12.49,2024-02-16
S000225,C004,SC011,63,6.64,2024-02-16
S000226,C016,SC021,41,11.49,2024-02-16
S000227,C017,SC013,94,7.12,2024-02-16
S000228,C011,SC001,261,7.64,2024-02-16
S000229,C009,SC032,77,7.12,2024-02-17
S000230,C012,SC027,158,4.94,2024-02-17
S000231,C004,SC031,146,6.29,2024-02-18
S000232,C008,SC001,131,8.09,2024-02-19
S000233,C018,SC024,10,13.49,2024-02-19
S000234,C003,SC001,56,8.54,2024-02-19
S000235,C010,SC036,179,8.99,2024-02-19
S000236,C017,SC011,72,6.64,2024-02-19
S000237,C018,SC021,42,11.49,2024-02-20
S000238,C010,SC036,69,9.49,2024-02-20
S000239,C017,SC026,31,4.99,2024-02-20
S000240,C001,SC036,45,9.99,2024-02-20
S000241,C015,SC021,24,11.49,2024-02-20
S000242,C011,SC006,224,6.79,2024-02-20
S000243,C004,SC026,36,4.99,2024-02-20
S000244,C015,SC001,42,8.99,2024-02-21
S000245,C008,SC017,183,5.84,2024-02-21
S000246,C013,SC031,200,6.29,2024-02-21
S000247,C015,SC011,79,6.64,2024-02-21
S000248,C002,SC001,107,8.09,2024-02-21
S000249,C009,SC006,158,7.19,2024-02-21
S000250,C004,SC031,128,6.29,2024-02-21
S000251,C019,SC050,42,11.99,2024-02-21
S000252,C015,SC001,94,8.54,2024-02-22
S000253,C011,SC001,300,7.64,2024-02-22
S000254,C014,SC016,100,7.12,2024-02-22
S000255,C011,SC001,176,8.09,2024-02-22
S000256,C020,SC046,242,8.49,2024-02-22
S000257,C015,SC036,91,9.49,2024-02-22
S000258,C018,SC024,47,13.49,2024-02-23
S000259,C008,SC036,106,8.99,2024-02-23
S000260,C010,SC036,161,8.99,2024-02-23
S000261,C011,SC036,294,8.49,2024-02-23
S000262,C006,SC036,93,9.49,2024-02-23
S000263,C005,SC032,106,6.74,2024-02-23
S000264,C007,SC017,53,6.17,2024-02-24
S000265,C003,SC033,99,6.17,2024-02-24
S000266,C015,SC016,36,7.49,2024-02-25
S000267,C002,SC018,50,8.99,2024-02-25
S000268,C004,SC017,70,6.17,2024-02-26
S000269,C011,SC037,183,9.44,2024-02-26
S000270,C020,SC043,238,7.64,2024-02-26
S000271,C007,SC018,174,8.09,2024-02-26
S000272,C013,SC036,209,8.49,2024-02-26
S000273,C018,SC043,10,8.99,2024-02-26
S000274,C006,SC003,151,9.89,2024-02-27
S000275,C012,SC031,139,6.29,2024-02-27
S000276,C007,SC017,138,5.84,2024-02-27
S000277,C015,SC036,58,9.49,2024-02-27
S000278,C009,SC006,89,7.59,2024-02-28
S000279,C016,SC049,25,7.99,2024-02-28
S000280,C007,SC031,107,6.29,2024-02-28
S000281,C019,SC023,38,10.49,2024-02-28
S000282,C015,SC021,47,11.49,2024-02-28
S000283,C018,SC049,44,7.99,2024-02-28
S000284,C017,SC014,149,8.09,2024-02-29
S000285,C013,SC031,270,5.94,2024-02-29
S000286,C006,SC007,139,7.64,2024-02-29
S000287,C005,SC001,50,8.99,2024-02-29
S000288,C005,SC001,139,8.09,2024-02-29
S000289,C001,SC023,32,10.49,2024-02-29
S000290,C019,SC021,22,11.49,2024-03-01
S000291,C007,SC001,169,8.09,2024-03-01
S000292,C005,SC011,102,6.29,2024-03-01
S000293,C017,SC015,31,7.99,2024-03-02
S000294,C005,SC006,121,7.19,2024-03-03
S000295,C004,SC026,105,4.49,2024-03-03
S000296,C008,SC026,57,4.74,2024-03-03
S000297,C017,SC001,82,8.54,2024-03-03
S000298,C016,SC004,54,11.87,2024-03-04
S000299,C013,SC036,204,8.49,2024-03-04
S000300,C015,SC043,21,8.99,2024-03-04
S000301,C019,SC024,22,13.49,2024-03-04
S000302,C013,SC026,209,4.24,2024-03-04
S000303,C007,SC043,186,8.09,2024-03-04
S000304,C018,SC004,43,12.49,2024-03-04
S000305,C018,SC023,49,10.49,2024-03-05
S000306,C012,SC006,139,7.19,2024-03-05
S000307,C010,SC001,76,8.54,2024-03-05
S000308,C017,SC026,87,4.74,2024-03-05
S000309,C004,SC011,30,6.99,2024-03-05
S000310,C014,SC036,74,9.49,2024-03-06
S000311,C004,SC006,131,7.19,2024-03-06
S000312,C012,SC027,209,4.67,2024-03-06
S000313,C020,SC036,130,8.99,2024-03-06
S000314,C001,SC004,126,11.24,2024-03-06
S000315,C006,SC036,87,9.49,2024-03-06
S000316,C011,SC006,207,6.79,2024-03-06
S000317,C014,SC017,89,6.17,2024-03-06
S000318,C006,SC001,139,8.09,2024-03-07
S000319,C009,SC036,129,8.99,2024-03-07
S000320,C009,SC001,116,8.09,2024-03-07
S000321,C012,SC001,203,7.64,2024-03-07
S000322,C014,SC001,30,8.99,2024-03-07
S000323,C003,SC026,76,4.74,2024-03-07
S000324,C018,SC049,15,7.99,2024-03-07
S000325,C002,SC043,136,8.09,2024-03-08
S000326,C012,SC001,259,7.64,2024-03-08
S000327,C013,SC031,250,5.94,2024-03-08
S000328,C002,SC001,86,8.54,2024-03-08
S000329,C017,SC026,97,4.74,2024-03-09
S000330,C014,SC016,100,7.12,2024-03-09
S000331,C003,SC033,74,6.17,2024-03-09
S000332,C010,SC001,76,8.54,2024-03-10
S000333,C017,SC014,63,8.54,2024-03-10
S000334,C019,SC021,32,11.49,2024-03-10
S000335,C005,SC011,70,6.64,2024-03-10
S000336,C007,SC018,132,8.09,2024-03-11
S000337,C009,SC031,112,6.29,2024-03-11
S000338,C002,SC003,52,10.44,2024-03-11
S000339,C003,SC001,118,8.09,2024-03-12
S000340,C011,SC001,126,8.09,2024-03-12
S000341,C018,SC024,16,13.49,2024-03-12
S000342,C012,SC027,157,4.94,2024-03-12
S000343,C008,SC002,140,8.54,2024-03-12
S000344,C016,SC024,93,12.82,2024-03-12
S000345,C005,SC031,39,6.99,2024-03-12
S000346,C015,SC021,67,10.92,2024-03-12
S000347,C002,SC043,137,8.09,2024-03-13
S000348,C008,SC011,73,6.64,2024-03-13
S000349,C014,SC036,37,9.99,2024-03-13
S000350,C015,SC036,92,9.49,2024-03-13
S000351,C011,SC006,281,6.79,2024-03-13
S000352,C013,SC006,142,7.19,2024-03-14
S000353,C001,SC050,136,10.79,2024-03-14
S000354,C004,SC006,110,7.19,2024-03-14
S000355,C008,SC007,147,7.64,2024-03-14
S000356,C015,SC036,91,9.49,2024-03-14
S000357,C010,SC036,50,9.99,2024-03-14
S000358,C013,SC036,136,8.99,2024-03-15
S000359,C018,SC049,31,7.99,2024-03-15
S000360,C012,SC027,264,4.67,2024-03-15
S000361,C003,SC032,98,7.12,2024-03-15
S000362,C007,SC001,88,8.54,2024-03-15
S000363,C002,SC011,129,6.29,2024-03-15
S000364,C012,SC031,295,5.94,2024-03-15
S000365,C009,SC006,84,7.59,2024-03-15
S000366,C006,SC007,127,7.64,2024-03-16
S000367,C001,SC023,81,9.97,2024-03-17
S000368,C014,SC021,99,10.92,2024-03-17
S000369,C012,SC006,166,7.19,2024-03-18
S000370,C003,SC006,82,7.59,2024-03-18
S000371,C002,SC036,97,9.49,2024-03-18
S000372,C019,SC025,47,9.99,2024-03-18
S000373,C010,SC036,99,9.49,2024-03-18
S000374,C017,SC006,146,7.19,2024-03-18
S000375,C002,SC011,98,6.64,2024-03-18
S000376,C007,SC017,76,6.17,2024-03-18
S000377,C010,SC006,136,7.19,2024-03-19
S000378,C005,SC031,48,6.99,2024-03-19
S000379,C019,SC037,42,10.49,2024-03-19
S000380,C011,SC031,137,6.29,2024-03-19
S000381,C017,SC015,110,7.19,2024-03-19
S000382,C020,SC036,117,8.99,2024-03-19
S000383,C001,SC004,41,12.49,2024-03-19
S000384,C007,SC026,110,4.49,2024-03-20
S000385,C005,SC011,62,6.64,2024-03-20
S000386,C015,SC021,38,11.49,2024-03-20
S000387,C016,SC024,74,12.82,2024-03-20
S000388,C002,SC003,135,9.89,2024-03-20
S000389,C009,SC036,135,8.99,2024-03-20
S000390,C005,SC035,47,7.49,2024-03-20
S000391,C006,SC005,109,10.79,2024-03-20
S000392,C002,SC003,63,10.44,2024-03-21
S000393,C020,SC001,238,7.64,2024-03-21
S000394,C014,SC046,62,9.49,2024-03-21
S000395,C013,SC001,109,8.09,2024-03-22
S000396,C014,SC011,28,6.99,2024-03-22
S000397,C015,SC016,83,7.12,2024-03-22
S000398,C020,SC036,106,8.99,2024-03-22
S000399,C018,SC043,28,8.99,2024-03-22
S000400,C002,SC001,87,8.54,2024-03-23
S000401,C004,SC011,72,6.64,2024-03-23
S000402,C013,SC036,167,8.99,2024-03-23
S000403,C014,SC043,89,8.54,2024-03-24
S000404,C008,SC002,186,8.54,2024-03-25
S000405,C008,SC026,73,4.74,2024-03-25
S000406,C018,SC004,50,12.49,2024-03-25
S000407,C010,SC032,200,6.74,2024-03-25
S000408,C004,SC017,51,6.17,2024-03-25
S000409,C018,SC043,15,8.99,2024-03-26
S000410,C014,SC017,96,6.17,2024-03-26
S000411,C013,SC026,183,4.49,2024-03-26
S000412,C015,SC017,92,6.17,2024-03-26
S000413,C015,SC043,71,8.54,2024-03-26
S000414,C004,SC006,42,7.99,2024-03-26
S000415,C014,SC017,68,6.17,2024-03-26
S000416,C006,SC036,130,8.99,2024-03-26
S000417,C005,SC026,124,4.49,2024-03-27
S000418,C004,SC017,30,6.49,2024-03-27
S000419,C019,SC037,34,10.49,2024-03-27
S000420,C020,SC018,201,7.64,2024-03-27
S000421,C008,SC001,136,8.09,2024-03-27
S000422,C010,SC032,93,7.12,2024-03-27
S000423,C004,SC026,67,4.74,2024-03-28
S000424,C002,SC001,66,8.54,2024-03-28
S000425,C016,SC023,45,10.49,2024-03-28
S000426,C008,SC002,177,8.54,2024-03-29
S000427,C015,SC001,83,8.54,2024-03-29
S000428,C017,SC013,68,7.12,2024-03-29
S000429,C004,SC006,117,7.19,2024-03-29
S000430,C001,SC025,102,8.99,2024-03-30
S000431,C001,SC024,116,12.14,2024-03-30
S000432,C001,SC050,64,11.39,2024-03-31
S000433,C017,SC013,111,6.74,2024-04-01
S000434,C012,SC032,158,6.74,2024-04-01
S000435,C004,SC002,138,8.54,2024-04-01
S000436,C020,SC018,182,8.09,2024-04-02
S000437,C007,SC043,102,8.09,2024-04-02
S000438,C004,SC017,38,6.49,2024-04-03
S000439,C008,SC006,63,7.59,2024-04-03
S000440,C005,SC032,59,7.12,2024-04-03
S000441,C011,SC006,292,6.79,2024-04-03
S000442,C020,SC001,216,7.64,2024-04-03
S000443,C017,SC015,127,7.19,2024-04-03
S000444,C003,SC028,79,3.79,2024-04-03
S000445,C004,SC006,114,7.19,2024-04-04
S000446,C018,SC021,30,11.49,2024-04-04
S000447,C003,SC026,103,4.49,2024-04-04
S000448,C004,SC011,135,6.29,2024-04-04
S000449,C020,SC016,128,6.74,2024-04-04
S000450,C016,SC021,46,11.49,2024-04-04
S000451,C019,SC025,14,9.99,2024-04-04
S000452,C004,SC001,123,8.09,2024-04-05
S000453,C019,SC025,46,9.99,2024-04-05
S000454,C010,SC012,112,6.29,2024-04-05
S000455,C002,SC001,126,8.09,2024-04-05
S000456,C015,SC016,75,7.12,2024-04-06
S000457,C015,SC011,97,6.64,2024-04-07
S000458,C002,SC043,72,8.54,2024-04-08
S000459,C020,SC002,132,8.54,2024-04-08
S000460,C020,SC002,239,8.07,2024-04-08
S000461,C006,SC037,107,9.44,2024-04-08
S000462,C016,SC004,96,11.87,2024-04-08
S000463,C004,SC031,133,6.29,2024-04-08
S000464,C008,SC011,65,6.64,2024-04-08
S000465,C009,SC031,196,6.29,2024-04-08
S000466,C004,SC031,66,6.64,2024-04-09
S000467,C010,SC011,147,6.29,2024-04-09
S000468,C020,SC018,146,8.09,2024-04-09
S000469,C018,SC025,23,9.99,2024-04-09
S000470,C002,SC003,83,10.44,2024-04-09
S000471,C015,SC011,44,6.99,2024-04-10
S000472,C017,SC014,143,8.09,2024-04-10
S000473,C011,SC006,287,6.79,2024-04-10
S000474,C002,SC003,127,9.89,2024-04-10
S000475,C009,SC036,87,9.49,2024-04-10
S000476,C020,SC001,112,8.09,2024-04-10
S000477,C012,SC036,196,8.99,2024-04-10
S000478,C003,SC006,38,7.99,2024-04-11
S000479,C005,SC001,129,8.09,2024-04-11
S000480,C018,SC050,43,11.99,2024-04-11
S000481,C006,SC006,63,7.59,2024-04-11
S000482,C010,SC032,56,7.12,2024-04-11
S000483,C001,SC001,96,8.54,2024-04-12
S000484,C005,SC032,106,6.74,2024-04-12
S000485,C006,SC037,112,9.44,2024-04-12
S000486,C017,SC026,62,4.74,2024-04-12
S000487,C004,SC026,30,4.99,2024-04-12
S000488,C019,SC050,31,11.99,2024-04-12
S000489,C010,SC006,77,7.59,2024-04-12
S000490,C013,SC036,264,8.49,2024-04-12
S000491,C003,SC026,116,4.49,2024-04-13
S000492,C001,SC050,79,11.39,2024-04-14
S000493,C007,SC037,191,9.44,2024-04-14
S000494,C012,SC006,193,7.19,2024-04-14
S000495,C016,SC050,74,11.39,2024-04-14
S000496,C019,SC024,30,13.49,2024-04-15
S000497,C004,SC011,70,6.64,2024-04-15
S000498,C004,SC001,49,8.99,2024-04-15
S000499,C003,SC032,122,6.74,2024-04-15
S000500,C018,SC004,42,12.49,2024-04-15
S000501,C016,SC025,73,9.49,2024-04-15
S000502,C015,SC001,38,8.99,2024-04-16
S000503,C017,SC026,129,4.49,2024-04-16
S000504,C003,SC026,97,4.74,2024-04-16
S000505,C010,SC026,81,4.74,2024-04-16
S000506,C005,SC012,125,6.29,2024-04-16
S000507,C008,SC036,78,9.49,2024-04-16
S000508,C015,SC011,100,6.64,2024-04-17
S000509,C014,SC001,75,8.54,2024-04-17
S000510,C017,SC015,79,7.59,2024-04-17
S000511,C014,SC011,77,6.64,2024-04-17
S000512,C004,SC001,62,8.54,2024-04-18
S000513,C005,SC012,110,6.29,2024-04-18
S000514,C019,SC021,43,11.49,2024-04-18
S000515,C008,SC002,126,8.54,2024-04-18
S000516,C007,SC037,99,9.97,2024-04-18
S000517,C006,SC001,181,8.09,2024-04-18
S000518,C016,SC004,85,11.87,2024-04-18
S000519,C010,SC001,123,8.09,2024-04-19
S000520,C019,SC037,47,10.49,2024-04-19
S000521,C004,SC031,145,6.29,2024-04-19
S000522,C012,SC026,278,4.24,2024-04-19
S000523,C006,SC002,121,8.54,2024-04-19
S000524,C005,SC035,118,6.74,2024-04-20
S000525,C005,SC035,127,6.74,2024-04-20
S000526,C018,SC049,36,7.99,2024-04-20
S000527,C004,SC006,94,7.59,2024-04-21
S000528,C018,SC023,39,10.49,2024-04-21
S000529,C020,SC001,184,8.09,2024-04-22
S000530,C008,SC017,65,6.17,2024-04-22
S000531,C006,SC007,171,7.64,2024-04-22
S000532,C007,SC043,173,8.09,2024-04-22
S000533,C003,SC033,62,6.17,2024-04-22
S000534,C015,SC001,85,8.54,2024-04-22
S000535,C005,SC006,131,7.19,2024-04-22
S000536,C018,SC024,30,13.49,2024-04-22
S000537,C001,SC049,56,7.59,2024-04-23
S000538,C006,SC037,114,9.44,2024-04-23
S000539,C005,SC035,144,6.74,2024-04-23
S000540,C004,SC011,44,6.99,2024-04-23
S000541,C016,SC004,98,11.87,2024-04-24
S000542,C002,SC016,69,7.12,2024-04-24
S000543,C006,SC002,52,9.02,2024-04-24
S000544,C010,SC001,126,8.09,2024-04-24
S000545,C006,SC006,93,7.59,2024-04-24
S000546,C010,SC006,121,7.19,2024-04-24
S000547,C010,SC006,165,7.19,2024-04-25
S000548,C016,SC023,43,10.49,2024-04-25
S000549,C006,SC003,162,9.89,2024-04-25
S000550,C009,SC001,144,8.09,2024-04-25
S000551,C015,SC016,44,7.49,2024-04-25
S000552,C013,SC026,217,4.24,2024-04-25
S000553,C011,SC037,170,9.44,2024-04-25
S000554,C008,SC017,133,5.84,2024-04-26
S000555,C018,SC021,28,11.49,2024-04-26
S000556,C003,SC006,63,7.59,2024-04-26
S000557,C020,SC018,200,8.09,2024-04-26
S000558,C018,SC025,19,9.99,2024-04-26
S000559,C019,SC021,25,11.49,2024-04-26
S000560,C012,SC026,125,4.49,2024-04-26
S000561,C002,SC036,143,8.99,2024-04-26
S000562,C008,SC001,88,8.54,2024-04-27
S000563,C016,SC004,61,11.87,2024-04-27
S000564,C009,SC026,70,4.74,2024-04-27
S000565,C001,SC023,139,9.44,2024-04-28
S000566,C004,SC011,105,6.29,2024-04-28
S000567,C020,SC001,96,8.54,2024-04-28
S000568,C013,SC036,238,8.49,2024-04-28
S000569,C012,SC036,179,8.99,2024-04-29
S000570,C006,SC005,69,11.39,2024-04-29
S000571,C010,SC026,151,4.49,2024-04-29
S000572,C014,SC004,57,11.87,2024-04-29
S000573,C012,SC006,242,6.79,2024-04-29
S000574,C017,SC011,80,6.64,2024-04-29
S000575,C002,SC026,143,4.49,2024-04-30
S000576,C017,SC015,66,7.59,2024-04-30
S000577,C008,SC017,164,5.84,2024-04-30
S000578,C015,SC016,72,7.12,2024-04-30
S000579,C013,SC031,138,6.29,2024-04-30
S000580,C006,SC007,70,8.07,2024-04-30
