sauce_id,raw_material_id,quantity_per_unit
SC025,RM016,0.12
SC025,RM011,0.22
SC025,RM037,0.03
SC025,RM040,0.02
SC025,RM002,0.01
SC025,RM015,0.01
SC026,RM001,0.4
SC026,RM013,0.08
SC026,RM014,0.1
SC026,RM015,0.015
SC026,RM003,0.01
SC026,RM076,0.005
SC027,RM001,0.38
SC027,RM013,0.08
SC027,RM014,0.09
SC027,RM007,0.02
SC027,RM023,0.015
SC027,RM015,0.015
SC028,RM020,0.15
SC028,RM013,0.1
SC028,RM014,0.05
SC028,RM015,0.02
SC028,RM021,0.008
SC028,RM076,0.005
SC029,RM020,0.18
SC029,RM013,0.08
SC029,RM069,0.06
SC029,RM015,0.015
SC029,RM014,0.03
SC029,RM076,0.005
SC030,RM028,0.12
SC030,RM020,0.15
SC030,RM013,0.08
SC030,RM014,0.04
SC030,RM015,0.015
SC030,RM076,0.005
SC031,RM011,0.15
SC031,RM002,0.01
SC031,RM003,0.008
SC031,RM037,0.02
SC031,RM086,0.015
SC031,RM015,0.012
SC032,RM007,0.08
SC032,RM013,0.1
SC032,RM023,0.03
SC032,RM002,0.015
SC032,RM015,0.012
SC032,RM014,0.02
SC033,RM092,0.15
SC033,RM013,0.06
SC033,RM014,0.04
SC033,RM003,0.01
SC033,RM002,0.008
SC033,RM037,0.015
SC034,RM011,0.12
SC034,RM013,0.05
SC034,RM002,0.015
SC034,RM015,0.01
SC034,RM030,0.005
SC034,RM086,0.02
SC035,RM011,0.18
SC035,RM002,0.02
SC035,RM054,0.04
SC035,RM016,0.03
SC035,RM015,0.01
SC035,RM006,0.008
SC036,RM001,0.3
SC036,RM002,0.02
SC036,RM022,0.015
SC036,RM021,0.01
SC036,RM009,0.012
SC036,RM008,0.01
SC036,RM051,0.08
SC036,RM007,0.015
SC037,RM001,0.28
SC037,RM002,0.018
SC037,RM022,0.012
SC037,RM021,0.008
SC037,RM044,0.005
SC037,RM046,0.006
SC037,RM051,0.1
SC037,RM028,0.03
SC038,RM001,0.25
SC038,RM007,0.04
SC038,RM002,0.025
SC038,RM008,0.015
SC038,RM021,0.012
SC038,RM020,0.01
SC038,RM051,0.08
SC038,RM013,0.03
SC039,RM051,0.15
SC039,RM002,0.015
SC039,RM022,0.01
SC039,RM044,0.008
SC039,RM046,0.008
SC039,RM047,0.005
SC039,RM028,0.04
SC039,RM001,0.2
SC040,RM002,0.025
SC040,RM022,0.015
SC040,RM021,0.012
SC040,RM007,0.02
SC040,RM016,0.04
SC040,RM011,0.1
SC040,RM051,0.05
SC041,RM007,0.1
SC041,RM002,0.02
SC041,RM016,0.06
SC041,RM013,0.04
SC041,RM010,0.015
SC041,RM023,0.025
SC041,RM011,0.05
SC042,RM007,0.12
SC042,RM008,0.02
SC042,RM009,0.015
SC042,RM002,0.025
SC042,RM011,0.08
SC042,RM016,0.04
SC042,RM015,0.01
SC043,RM037,0.15
SC043,RM038,0.1
SC043,RM002,0.03
SC043,RM011,0.18
SC043,RM013,0.05
SC043,RM007,0.015
SC043,RM015,0.01
SC044,RM038,0.2
SC044,RM031,0.08
SC044,RM002,0.02
SC044,RM011,0.12
SC044,RM016,0.04
SC044,RM015,0.012
SC045,RM007,0.06
SC045,RM001,0.2
SC045,RM046,0.015
SC045,RM045,0.008
SC045,RM047,0.006
SC045,RM002,0.02
SC045,RM014,0.04
SC045,RM012,0.08
SC046,RM017,0.15
SC046,RM065,0.08
SC046,RM016,0.06
SC046,RM002,0.01
SC046,RM022,0.008
SC046,RM050,0.01
SC047,RM007,0.15
SC047,RM002,0.025
SC047,RM014,0.06
SC047,RM017,0.1
SC047,RM065,0.04
SC047,RM050,0.012
SC048,RM050,0.2
SC048,RM051,0.12
SC048,RM017,0.08
SC048,RM014,0.05
SC048,RM002,0.015
SC048,RM007,0.02
SC049,RM002,0.03
SC049,RM016,0.08
SC049,RM039,0.04
SC049,RM040,0.025
SC049,RM015,0.015
SC049,RM011,0.1
SC050,RM058,0.25
SC050,RM056,0.08
SC050,RM002,0.02
SC050,RM011,0.15
SC050,RM064,0.03
SC050,RM015,0.012
