batch_id,sauce_id,produced_quantity,production_date
B00155,SC017,1400,2024-02-19
B00156,SC016,585,2024-02-19
B00157,SC026,1428,2024-02-19
B00158,SC033,443,2024-02-20
B00159,SC020,388,2024-02-20
B00160,SC043,1151,2024-02-20
B00161,SC026,1257,2024-02-20
B00162,SC008,302,2024-02-22
B00163,SC012,1196,2024-02-22
B00164,SC020,412,2024-02-22
B00165,SC005,230,2024-02-22
B00166,SC011,1124,2024-02-22
B00167,SC008,269,2024-02-22
B00168,SC026,1779,2024-02-22
B00169,SC017,1817,2024-02-22
B00170,SC029,319,2024-02-23
B00171,SC044,313,2024-02-24
B00172,SC026,1723,2024-02-24
B00173,SC046,761,2024-02-25
B00174,SC031,1220,2024-02-26
B00175,SC031,1142,2024-02-26
B00176,SC004,499,2024-02-26
B00177,SC028,470,2024-02-26
B00178,SC019,667,2024-02-26
B00179,SC044,202,2024-02-27
B00180,SC002,1127,2024-02-27
B00181,SC010,279,2024-02-27
B00182,SC001,1863,2024-02-27
B00183,SC031,1305,2024-02-28
B00184,SC004,379,2024-02-28
B00185,SC026,1393,2024-02-28
B00186,SC005,134,2024-02-29
B00187,SC003,677,2024-02-29
B00188,SC019,368,2024-03-01
B00189,SC046,321,2024-03-02
B00190,SC002,1003,2024-03-02
B00191,SC027,984,2024-03-02
B00192,SC006,1923,2024-03-02
B00193,SC016,1178,2024-03-02
B00194,SC006,1074,2024-03-03
B00195,SC009,364,2024-03-04
B00196,SC033,641,2024-03-06
B00197,SC044,372,2024-03-07
B00198,SC044,422,2024-03-07
B00199,SC009,236,2024-03-07
B00200,SC003,976,2024-03-07
B00201,SC049,401,2024-03-07
B00202,SC001,1395,2024-03-07
B00203,SC006,1712,2024-03-08
B00204,SC006,923,2024-03-08
B00205,SC006,1297,2024-03-08
B00206,SC010,113,2024-03-08
B00207,SC030,164,2024-03-09
B00208,SC003,907,2024-03-09
B00209,SC006,923,2024-03-09
B00210,SC038,798,2024-03-10
B00211,SC036,1629,2024-03-10
B00212,SC031,1132,2024-03-10
B00213,SC006,1765,2024-03-10
B00214,SC036,871,2024-03-10
B00215,SC011,1479,2024-03-11
B00216,SC034,226,2024-03-11
B00217,SC036,1358,2024-03-11
B00218,SC027,1008,2024-03-12
B00219,SC026,1333,2024-03-12
B00220,SC016,997,2024-03-12
B00221,SC015,118,2024-03-12
B00222,SC017,1355,2024-03-14
B00223,SC046,792,2024-03-14
B00224,SC018,1579,2024-03-14
B00225,SC007,522,2024-03-14
B00226,SC021,945,2024-03-14
B00227,SC002,409,2024-03-15
B00228,SC039,178,2024-03-15
B00229,SC006,1792,2024-03-15
B00230,SC036,1389,2024-03-15
B00231,SC017,1542,2024-03-15
B00232,SC036,1902,2024-03-16
B00233,SC002,865,2024-03-16
B00234,SC031,1003,2024-03-16
B00235,SC036,1423,2024-03-17
B00236,SC001,1208,2024-03-18
B00237,SC008,319,2024-03-18
B00238,SC028,379,2024-03-18
B00239,SC021,934,2024-03-18
B00240,SC027,1161,2024-03-18
B00241,SC017,1392,2024-03-18
B00242,SC015,256,2024-03-18
B00243,SC008,287,2024-03-19
B00244,SC024,373,2024-03-19
B00245,SC019,265,2024-03-19
B00246,SC012,1165,2024-03-19
B00247,SC011,1036,2024-03-22
B00248,SC036,1082,2024-03-22
B00249,SC007,743,2024-03-22
B00250,SC044,388,2024-03-23
B00251,SC017,1252,2024-03-23
B00252,SC001,1465,2024-03-23
B00253,SC028,602,2024-03-25
B00254,SC044,447,2024-03-25
B00255,SC024,312,2024-03-25
B00256,SC049,298,2024-03-25
B00257,SC032,960,2024-03-26
B00258,SC017,1122,2024-03-26
B00259,SC008,458,2024-03-26
B00260,SC002,573,2024-03-26
B00261,SC047,329,2024-03-27
B00262,SC013,383,2024-03-27
B00263,SC027,799,2024-03-28
B00264,SC050,331,2024-03-28
B00265,SC003,1118,2024-03-29
B00266,SC043,899,2024-03-29
B00267,SC010,132,2024-03-29
B00268,SC011,1247,2024-03-29
B00269,SC001,1358,2024-03-30
B00270,SC049,327,2024-03-31
B00271,SC029,104,2024-03-31
B00272,SC016,452,2024-03-31
B00273,SC013,682,2024-03-31
B00274,SC017,1843,2024-03-31
B00275,SC018,1062,2024-04-01
B00276,SC027,854,2024-04-01
B00277,SC016,483,2024-04-01
B00278,SC036,1867,2024-04-01
B00279,SC044,367,2024-04-02
B00280,SC026,1186,2024-04-03
B00281,SC031,1430,2024-04-03
B00282,SC018,1308,2024-04-03
B00283,SC028,299,2024-04-03
B00284,SC019,359,2024-04-03
B00285,SC026,816,2024-04-04
B00286,SC008,619,2024-04-04
B00287,SC001,1607,2024-04-04
B00288,SC006,1247,2024-04-04
B00289,SC006,1381,2024-04-04
B00290,SC043,1131,2024-04-04
B00291,SC047,311,2024-04-04
B00292,SC027,1113,2024-04-04
B00293,SC012,1131,2024-04-06
B00294,SC001,1451,2024-04-06
B00295,SC012,444,2024-04-07
B00296,SC036,1424,2024-04-07
B00297,SC014,383,2024-04-08
B00298,SC038,402,2024-04-08
B00299,SC019,766,2024-04-08
B00300,SC024,452,2024-04-08
B00301,SC018,866,2024-04-08
B00302,SC018,964,2024-04-08
B00303,SC003,1068,2024-04-09
B00304,SC036,1694,2024-04-09
B00305,SC021,1156,2024-04-09
B00306,SC006,1812,2024-04-10
B00307,SC001,823,2024-04-10
B00308,SC018,1664,2024-04-11
B00309,SC026,1969,2024-04-11
B00310,SC026,991,2024-04-11
B00311,SC038,523,2024-04-11
B00312,SC042,121,2024-04-11
B00313,SC024,429,2024-04-11
B00314,SC031,1233,2024-04-12
B00315,SC011,1853,2024-04-12
B00316,SC031,1112,2024-04-12
B00317,SC047,298,2024-04-12
B00318,SC001,1916,2024-04-13
B00319,SC031,1947,2024-04-13
B00320,SC046,339,2024-04-13
B00321,SC001,1429,2024-04-13
B00322,SC026,1640,2024-04-13
B00323,SC012,462,2024-04-13
B00324,SC003,1050,2024-04-14
B00325,SC006,1860,2024-04-14
B00326,SC026,1417,2024-04-15
B00327,SC013,230,2024-04-15
B00328,SC023,338,2024-04-15
B00329,SC012,736,2024-04-16
B00330,SC026,1621,2024-04-16
B00331,SC036,933,2024-04-16
B00332,SC031,1714,2024-04-16
B00333,SC017,1318,2024-04-16
B00334,SC046,658,2024-04-16
B00335,SC027,591,2024-04-17
B00336,SC004,282,2024-04-17
B00337,SC019,760,2024-04-17
B00338,SC026,1472,2024-04-18
B00339,SC027,1034,2024-04-19
B00340,SC021,579,2024-04-19
B00341,SC018,1225,2024-04-19
B00342,SC032,1013,2024-04-20
B00343,SC031,1940,2024-04-20
B00344,SC006,1310,2024-04-20
B00345,SC029,310,2024-04-20
B00346,SC021,852,2024-04-20
B00347,SC036,966,2024-04-21
B00348,SC012,580,2024-04-21
B00349,SC002,548,2024-04-21
B00350,SC050,340,2024-04-22
B00351,SC003,771,2024-04-22
B00352,SC028,665,2024-04-22
B00353,SC031,1189,2024-04-23
B00354,SC038,214,2024-04-23
B00355,SC006,1218,2024-04-23
B00356,SC004,667,2024-04-23
B00357,SC004,743,2024-04-24
B00358,SC027,602,2024-04-24
B00359,SC031,914,2024-04-24
B00360,SC031,1170,2024-04-24
B00361,SC007,700,2024-04-25
B00362,SC021,561,2024-04-25
B00363,SC042,75,2024-04-25
B00364,SC037,412,2024-04-25
B00365,SC003,992,2024-04-25
B00366,SC020,311,2024-04-26
B00367,SC031,1089,2024-04-27
B00368,SC027,611,2024-04-27
B00369,SC026,982,2024-04-27
B00370,SC028,741,2024-04-28
B00371,SC002,1039,2024-04-28
B00372,SC006,1732,2024-04-28
B00373,SC032,695,2024-04-28
B00374,SC011,1661,2024-04-28
B00375,SC018,1392,2024-04-28
B00376,SC037,827,2024-04-28
B00377,SC008,248,2024-04-28
B00378,SC011,822,2024-04-29
B00379,SC043,493,2024-04-29
B00380,SC017,914,2024-04-29
B00381,SC017,1164,2024-04-29
B00382,SC012,949,2024-04-29
B00383,SC031,1976,2024-04-29
B00384,SC018,979,2024-04-30
B00385,SC023,261,2024-04-30
B00386,SC019,654,2024-05-01
B00387,SC037,866,2024-05-01
B00388,SC012,1159,2024-05-02
B00389,SC018,879,2024-05-02
B00390,SC001,1165,2024-05-02
B00391,SC013,258,2024-05-03
B00392,SC024,302,2024-05-03
B00393,SC040,238,2024-05-03
B00394,SC012,416,2024-05-04
B00395,SC016,897,2024-05-04
B00396,SC032,454,2024-05-04
B00397,SC002,743,2024-05-05
B00398,SC008,532,2024-05-05
B00399,SC017,1830,2024-05-05
B00400,SC011,1022,2024-05-06
B00401,SC037,421,2024-05-06
B00402,SC032,499,2024-05-06
B00403,SC006,1085,2024-05-06
B00404,SC026,802,2024-05-07
B00405,SC036,1072,2024-05-07
B00406,SC011,1375,2024-05-07
B00407,SC017,1923,2024-05-09
B00408,SC013,289,2024-05-09
B00409,SC049,548,2024-05-09
B00410,SC050,374,2024-05-10
B00411,SC020,168,2024-05-10
B00412,SC001,1518,2024-05-11
B00413,SC045,124,2024-05-11
B00414,SC016,481,2024-05-11
B00415,SC007,879,2024-05-12
B00416,SC044,595,2024-05-12
B00417,SC044,284,2024-05-12
B00418,SC031,1322,2024-05-13
B00419,SC037,709,2024-05-13
B00420,SC017,1622,2024-05-13
B00421,SC006,1980,2024-05-14
B00422,SC008,292,2024-05-14
B00423,SC016,1098,2024-05-14
B00424,SC019,798,2024-05-14
B00425,SC012,983,2024-05-15
B00426,SC018,804,2024-05-15
B00427,SC017,1852,2024-05-15
B00428,SC037,665,2024-05-15
B00429,SC013,642,2024-05-16
B00430,SC036,1258,2024-05-16
B00431,SC031,939,2024-05-16
B00432,SC012,984,2024-05-17
B00433,SC049,227,2024-05-19
B00434,SC006,854,2024-05-19
B00435,SC037,564,2024-05-20
B00436,SC049,719,2024-05-20
B00437,SC031,1712,2024-05-21
B00438,SC001,1467,2024-05-21
B00439,SC031,1602,2024-05-21
B00440,SC023,711,2024-05-21
B00441,SC032,631,2024-05-21
B00442,SC037,796,2024-05-22
B00443,SC017,1071,2024-05-22
B00444,SC025,160,2024-05-23
B00445,SC026,1142,2024-05-23
B00446,SC038,234,2024-05-23
B00447,SC028,539,2024-05-23
B00448,SC017,1685,2024-05-23
B00449,SC026,832,2024-05-23
B00450,SC013,692,2024-05-23
B00451,SC006,1321,2024-05-24
B00452,SC043,852,2024-05-25
B00453,SC001,1259,2024-05-26
B00454,SC027,464,2024-05-26
B00455,SC021,1057,2024-05-27
B00456,SC003,1198,2024-05-27
B00457,SC026,1626,2024-05-27
B00458,SC005,449,2024-05-28
B00459,SC006,1969,2024-05-28
B00460,SC026,1494,2024-05-28
B00461,SC028,721,2024-05-28
B00462,SC024,494,2024-05-28
B00463,SC013,376,2024-05-28
B00464,SC006,1366,2024-05-28
B00465,SC036,1451,2024-05-29
B00466,SC015,200,2024-05-29
B00467,SC011,1499,2024-05-30
B00468,SC003,887,2024-05-30
B00469,SC038,684,2024-05-30
B00470,SC039,360,2024-05-31
B00471,SC017,1633,2024-06-02
B00472,SC012,863,2024-06-03
B00473,SC026,1046,2024-06-03
B00474,SC003,647,2024-06-03
B00475,SC013,665,2024-06-03
B00476,SC017,1028,2024-06-03
B00477,SC040,158,2024-06-04
B00478,SC011,1923,2024-06-04
B00479,SC011,873,2024-06-04
B00480,SC050,236,2024-06-04
B00481,SC042,66,2024-06-04
B00482,SC009,187,2024-06-04
B00483,SC011,1763,2024-06-05
B00484,SC043,1097,2024-06-05
B00485,SC045,203,2024-06-05
B00486,SC047,411,2024-06-05
B00487,SC003,1049,2024-06-06
B00488,SC031,1949,2024-06-07
B00489,SC005,201,2024-06-08
B00490,SC044,621,2024-06-09
B00491,SC044,336,2024-06-09
B00492,SC011,1127,2024-06-09
B00493,SC026,1091,2024-06-09
B00494,SC006,1250,2024-06-10
B00495,SC040,116,2024-06-10
B00496,SC018,1516,2024-06-10
B00497,SC017,1642,2024-06-11
B00498,SC038,303,2024-06-11
B00499,SC012,1130,2024-06-11
B00500,SC043,607,2024-06-11
B00501,SC001,1314,2024-06-12
B00502,SC043,826,2024-06-13
B00503,SC031,1150,2024-06-13
B00504,SC044,774,2024-06-13
B00505,SC041,297,2024-06-13
B00506,SC027,1160,2024-06-14
B00507,SC018,1108,2024-06-14
B00508,SC038,214,2024-06-14
B00509,SC048,271,2024-06-14
B00510,SC006,1807,2024-06-14
B00511,SC012,1059,2024-06-15
B00512,SC007,983,2024-06-15
B00513,SC019,685,2024-06-15
B00514,SC028,641,2024-06-15
B00515,SC013,575,2024-06-16
B00516,SC001,1796,2024-06-16
B00517,SC026,1060,2024-06-16
B00518,SC043,652,2024-06-16
B00519,SC037,1024,2024-06-16
B00520,SC021,434,2024-06-16
B00521,SC006,1648,2024-06-16
B00522,SC018,1653,2024-06-16
B00523,SC021,654,2024-06-17
B00524,SC028,302,2024-06-17
B00525,SC026,1810,2024-06-17
B00526,SC020,409,2024-06-19
B00527,SC018,1474,2024-06-19
B00528,SC004,472,2024-06-20
B00529,SC023,535,2024-06-20
B00530,SC041,189,2024-06-20
B00531,SC023,674,2024-06-21
B00532,SC046,657,2024-06-21
B00533,SC029,124,2024-06-22
B00534,SC021,1019,2024-06-23
B00535,SC023,790,2024-06-23
B00536,SC024,106,2024-06-23
B00537,SC049,709,2024-06-23
B00538,SC033,454,2024-06-23
B00539,SC002,618,2024-06-24
B00540,SC046,392,2024-06-24
B00541,SC007,980,2024-06-24
B00542,SC040,280,2024-06-24
B00543,SC018,1035,2024-06-24
B00544,SC025,58,2024-06-24
B00545,SC032,456,2024-06-24
B00546,SC001,1326,2024-06-24
B00547,SC026,819,2024-06-25
B00548,SC016,1066,2024-06-25
B00549,SC031,895,2024-06-25
B00550,SC011,1021,2024-06-26
B00551,SC016,1132,2024-06-26
B00552,SC026,1036,2024-06-27
B00553,SC047,113,2024-06-27
B00554,SC043,1190,2024-06-28
B00555,SC032,971,2024-06-28
B00556,SC007,421,2024-06-28
B00557,SC006,861,2024-06-28
B00558,SC011,1858,2024-06-29
B00559,SC039,500,2024-06-29
B00560,SC043,737,2024-06-30
B00561,SC011,1942,2024-06-30
B00562,SC046,441,2024-07-01
B00563,SC012,1057,2024-07-01
B00564,SC031,1055,2024-07-01
B00565,SC001,881,2024-07-01
B00566,SC001,1128,2024-07-01
B00567,SC047,375,2024-07-03
B00568,SC034,495,2024-07-03
B00569,SC006,922,2024-07-03
B00570,SC024,258,2024-07-04
B00571,SC003,832,2024-07-04
B00572,SC013,379,2024-07-04
B00573,SC003,802,2024-07-05
B00574,SC036,1566,2024-07-05
B00575,SC038,214,2024-07-05
B00576,SC020,260,2024-07-05
B00577,SC016,993,2024-07-06
B00578,SC004,214,2024-07-06
B00579,SC015,136,2024-07-07
B00580,SC004,325,2024-07-07
B00581,SC031,1297,2024-07-07
B00582,SC013,698,2024-07-08
B00583,SC003,640,2024-07-09
B00584,SC012,718,2024-07-09
B00585,SC014,154,2024-07-09
B00586,SC026,1448,2024-07-09
B00587,SC026,969,2024-07-11
B00588,SC018,917,2024-07-11
B00589,SC011,1184,2024-07-11
B00590,SC039,226,2024-07-12
B00591,SC033,574,2024-07-12
B00592,SC001,867,2024-07-12
B00593,SC018,1552,2024-07-12
B00594,SC002,520,2024-07-12
B00595,SC037,612,2024-07-12
B00596,SC016,1021,2024-07-13
B00597,SC028,317,2024-07-13
B00598,SC016,501,2024-07-13
B00599,SC018,1597,2024-07-13
B00600,SC017,1163,2024-07-15
B00601,SC048,227,2024-07-15
B00602,SC005,310,2024-07-16
B00603,SC031,969,2024-07-16
B00604,SC028,602,2024-07-16
B00605,SC036,1571,2024-07-16
B00606,SC028,338,2024-07-16
B00607,SC024,368,2024-07-19
B00608,SC011,1970,2024-07-19
B00609,SC043,506,2024-07-19
B00610,SC031,1401,2024-07-19
B00611,SC038,592,2024-07-20
B00612,SC031,1149,2024-07-20
B00613,SC026,938,2024-07-20
B00614,SC029,458,2024-07-20
B00615,SC006,1351,2024-07-21
B00616,SC008,450,2024-07-21
B00617,SC005,416,2024-07-22
B00618,SC017,1128,2024-07-22
B00619,SC021,881,2024-07-22
B00620,SC016,1188,2024-07-22
B00621,SC045,229,2024-07-22
B00622,SC008,643,2024-07-22
B00623,SC047,427,2024-07-22
B00624,SC037,1183,2024-07-22
B00625,SC031,1575,2024-07-24
B00626,SC014,131,2024-07-24
B00627,SC017,1556,2024-07-24
B00628,SC016,792,2024-07-25
B00629,SC011,1723,2024-07-26
B00630,SC032,555,2024-07-26
B00631,SC007,591,2024-07-26
B00632,SC032,428,2024-07-27
B00633,SC028,683,2024-07-27
B00634,SC014,104,2024-07-27
B00635,SC001,1941,2024-07-27
B00636,SC041,136,2024-07-27
B00637,SC033,740,2024-07-27
B00638,SC016,816,2024-07-28
B00639,SC008,711,2024-07-28
B00640,SC027,1094,2024-07-28
B00641,SC003,898,2024-07-28
B00642,SC031,1818,2024-07-29
B00643,SC005,398,2024-07-29
B00644,SC001,1069,2024-07-29
B00645,SC021,497,2024-07-30
B00646,SC018,1418,2024-07-30
B00647,SC011,1802,2024-07-30
B00648,SC032,838,2024-07-30
B00649,SC037,529,2024-07-31
B00650,SC003,444,2024-07-31
B00651,SC026,1164,2024-08-01
B00652,SC006,1029,2024-08-01
B00653,SC006,1962,2024-08-01
B00654,SC016,857,2024-08-01
B00655,SC001,1870,2024-08-01
B00656,SC004,697,2024-08-02
B00657,SC017,1250,2024-08-02
B00658,SC006,1521,2024-08-02
B00659,SC038,337,2024-08-03
B00660,SC024,329,2024-08-03
B00661,SC030,129,2024-08-03
B00662,SC033,241,2024-08-03
B00663,SC007,517,2024-08-03
B00664,SC018,1635,2024-08-03
B00665,SC026,1960,2024-08-03
B00666,SC004,645,2024-08-04
B00667,SC006,1849,2024-08-04
B00668,SC018,1639,2024-08-05
B00669,SC001,1160,2024-08-05
B00670,SC027,957,2024-08-06
B00671,SC023,746,2024-08-06
B00672,SC006,1237,2024-08-06
B00673,SC002,1039,2024-08-07
B00674,SC032,893,2024-08-07
B00675,SC006,1760,2024-08-07
B00676,SC032,538,2024-08-07
B00677,SC012,467,2024-08-08
B00678,SC001,1316,2024-08-08
B00679,SC028,730,2024-08-09
B00680,SC043,746,2024-08-09
B00681,SC044,363,2024-08-10
B00682,SC011,1969,2024-08-10
B00683,SC037,558,2024-08-10
B00684,SC001,1252,2024-08-10
B00685,SC036,1220,2024-08-10
B00686,SC024,147,2024-08-11
B00687,SC016,520,2024-08-11
B00688,SC019,228,2024-08-11
B00689,SC001,1832,2024-08-11
B00690,SC049,799,2024-08-12
B00691,SC031,851,2024-08-12
B00692,SC013,694,2024-08-13
B00693,SC021,854,2024-08-14
B00694,SC031,1387,2024-08-14
B00695,SC028,492,2024-08-14
B00696,SC007,841,2024-08-14
B00697,SC011,835,2024-08-15
B00698,SC019,538,2024-08-15
B00699,SC018,1979,2024-08-15
B00700,SC006,940,2024-08-15
B00701,SC028,675,2024-08-16
B00702,SC007,981,2024-08-16
B00703,SC003,1161,2024-08-17
B00704,SC026,1619,2024-08-17
B00705,SC001,1059,2024-08-17
B00706,SC017,1107,2024-08-17
B00707,SC003,493,2024-08-19
B00708,SC043,403,2024-08-19
B00709,SC032,984,2024-08-19
B00710,SC006,1246,2024-08-20
B00711,SC033,589,2024-08-20
B00712,SC026,1600,2024-08-20
B00713,SC036,1509,2024-08-20
B00714,SC018,1057,2024-08-20
B00715,SC028,611,2024-08-20
B00716,SC020,102,2024-08-20
B00717,SC038,599,2024-08-20
B00718,SC007,969,2024-08-22
B00719,SC002,889,2024-08-22
B00720,SC026,1352,2024-08-22
B00721,SC018,1004,2024-08-22
B00722,SC019,654,2024-08-22
B00723,SC034,436,2024-08-22
B00724,SC049,475,2024-08-23
B00725,SC012,732,2024-08-24
B00726,SC026,939,2024-08-25
B00727,SC037,682,2024-08-25
B00728,SC027,491,2024-08-26
B00729,SC036,1341,2024-08-26
B00730,SC019,772,2024-08-26
B00731,SC017,1294,2024-08-26
B00732,SC006,801,2024-08-27
B00733,SC041,203,2024-08-27
B00734,SC028,661,2024-08-28
B00735,SC008,287,2024-08-29
B00736,SC036,1131,2024-08-29
B00737,SC002,980,2024-08-29
B00738,SC006,1858,2024-08-30
B00739,SC002,758,2024-08-30
B00740,SC017,1515,2024-09-01
B00741,SC024,492,2024-09-01
B00742,SC026,1253,2024-09-01
B00743,SC036,1925,2024-09-01
B00744,SC037,1175,2024-09-01
B00745,SC012,574,2024-09-02
B00746,SC017,1075,2024-09-02
B00747,SC049,423,2024-09-02
B00748,SC038,649,2024-09-02
B00749,SC023,208,2024-09-03
B00750,SC027,717,2024-09-03
B00751,SC036,1175,2024-09-03
B00752,SC012,915,2024-09-04
B00753,SC043,665,2024-09-04
B00754,SC016,612,2024-09-04
B00755,SC047,259,2024-09-04
B00756,SC011,800,2024-09-04
B00757,SC032,915,2024-09-04
B00758,SC044,434,2024-09-05
B00759,SC012,935,2024-09-05
B00760,SC019,752,2024-09-06
B00761,SC050,109,2024-09-06
B00762,SC019,492,2024-09-06
B00763,SC016,698,2024-09-07
B00764,SC006,862,2024-09-07
B00765,SC001,1887,2024-09-07
B00766,SC037,1173,2024-09-10
B00767,SC028,433,2024-09-10
B00768,SC036,1014,2024-09-11
B00769,SC019,793,2024-09-11
B00770,SC003,787,2024-09-11
B00771,SC032,614,2024-09-12
B00772,SC004,352,2024-09-12
B00773,SC022,93,2024-09-12
B00774,SC004,574,2024-09-13
B00775,SC031,1749,2024-09-14
B00776,SC018,1831,2024-09-15
B00777,SC026,1701,2024-09-15
B00778,SC043,1002,2024-09-16
B00779,SC014,337,2024-09-16
B00780,SC043,836,2024-09-16
B00781,SC036,1694,2024-09-17
B00782,SC018,1354,2024-09-17
B00783,SC012,809,2024-09-18
B00784,SC016,501,2024-09-18
B00785,SC012,1027,2024-09-18
B00786,SC031,975,2024-09-19
B00787,SC037,541,2024-09-21
B00788,SC048,220,2024-09-21
B00789,SC002,1007,2024-09-21
B00790,SC019,630,2024-09-21
B00791,SC016,689,2024-09-22
B00792,SC034,415,2024-09-22
B00793,SC026,1928,2024-09-22
B00794,SC007,621,2024-09-22
B00795,SC013,493,2024-09-22
B00796,SC011,870,2024-09-23
B00797,SC001,1958,2024-09-23
B00798,SC018,1252,2024-09-23
B00799,SC020,234,2024-09-23
B00800,SC013,632,2024-09-24
B00801,SC017,1311,2024-09-24
B00802,SC021,1076,2024-09-24
